분류 ,질문,답변
자동차 등록 및 이전,신차구입시 구비서류가 어떻게 되나요?,"※ 각 지자체 시,군,구청 자동차과 또는 차량등록사업소 별로 요청하는 서류가 다를 수 있으니 정확한 문의 후 방문하시기 바랍니다."
자동차 등록 및 이전,온라인 이전등록시 심사관청은 무엇입니까?,심사관청이란 온라인 이전등록을 할 때 서류를 심사하고 세금을 부과하는 관청입니다.  
자동차 등록 및 이전,법인차량 이전등록 시 절차가 어떻게 되나요?,"※ 각 지자체 시,군,구청 자동차과 또는 차량등록사업소로 정확한 문의 후 방문하시기 바랍니다.     
법인 간 이전등록 처리시 절차 안내입니다.  
절차 : 이전등록접수취등록세고지서 수령 및 납부공채 및 수입인지 구입등록증 교부  구비서류                
- 공통 제출 서류: 이전등록신청서,자동차양도증명서        
- 양도인(법인) 구비서류 : 자동차매도용 법인인감증명서,법인인감도장,등기부등본 및 사업자등록증 사본,   양도증명서 법인인감도장 날인     
- 양수인(법인) 구비서류 : 법인인감증명서,법인인감도장,등기부등본 및 사업자등록증 사본,   법인 대표자 또는 법인 대리(위임)인 신분증
  ※ 양수 법인 대표 미 방문 시 위임장(법인인감도장 날인)제출  
※ 양도증명서 특약사항 작성 시: 양수 법인인감도장 날인 "
자동차 등록 및 이전,법인업체 파산되었는데 이전등록이 가능한가요?,"폐업이어도 등기부등본과 인감이 말소되지 아니한 경우 가능하며, 말소 처리가 되었다면 법원에 파산 관제인(또는 청산인 지정) 신청 후 이전등록이 가능합니다."
자동차 등록 및 이전,소유자 사망시 구비서류 문의,"소유자 사망시 상속받은 자가 폐차 처리하거나,상속자가 상속 포기시 상속포기각서 및 각각의 신분증 사본 필요"
자동차 등록 및 이전,트레일러 차량번호판 추가 등록하려합니다. 어떻게 해야하나요?,"※ 각 지자체 시,군,구청 자동차과 또는 차량등록사업소로 정확한 문의 후 방문하시기 바랍니다.  가까운 차량등록사업소 또는 시,군,구청 자동차과 방문하여 번호판 추가 등록하시면 됩니다"
자동차 등록 및 이전,"법인차량의 주소, 상호 변경을 인터넷으로 신청하려면 어떻게 하나요? (중복 질문 포함)",법인차량의 소재지 변경 신고 및 상호 변경은 기업지원플러스를 이용하시면 신청 가능합니다
자동차 검사 및 정비(관리),자동차검사란 무엇인가요?,"운행중인 자동차의 안전도 적합여부 및 배출가스 허용기준 준수여부 등을 확인하여 교통사고와 환경오염으로부터 국민의귀중한 생명과 재산을 지키는 중요한 사업입니다.   
자동차검사에 더 궁금한 사항이 있으시면 1577-0990번으로 문의하시면 자세한안내를 받으실수 있습니다."
자동차 검사 및 정비(관리),자동차 종합검사와 정기검사는 어떻게 다른 가요?,"그 동안 각각 받아오던 자동차 정기검사와 배출가스 정밀검사 및 특정경유자동차의 검사항목을 하나의 검사로 통합하고, 중복된 절차(검사대상, 검사주기, 검사절차, 검사유효기간, 검사유예, 과태료 등)로 인한 국민의 불편을 해소하기 위하여 통합하여 시행하는 제도입니다.  (자동차관리법 개정'08.3.28' 공포, '09.3.29' 시행) 
자동차종합검사는 기존 배출가스 정밀검사 시행지역에 등록된 자동차에 대하여 안전도 분야와 부하검사방법에 의한 배출가스 검사를 시행하고, 자동차 정기검사는 기존과 같이 안전도 분야와 무부하검사방법에 의한 배출가스 검사를 시행하게 됩니다.   "
자동차 검사 및 정비(관리),자동차검사 기간 문의,"자동차 검사 기간은 자동차등록증에 검사 유효기간 기간이 기재되어 있습니다. 또한 한국교통안전공단 홈페이지 ""고객참여->자동차검사->자동차검사 날짜 조회""에서도 확인할 수 있습니다. 자동차 정기검사 및 종합검사는 자동차관리법에 따라 검사유효기간 만료일 전후 각각 31일 이내에 받아야 합니다. 한국교통안전공단 홈페이지에서 인터넷으로 예약 및 전화예약(1577-0990)으로도 가능합니다."
자동차 검사 및 정비(관리),자동차검사는 꼭 등록지역에서만 가능한가요?,"자동차검사는 전국 어느 곳에서나 가능합니다. 다만, 귀하차량이 등록된 지역이 운행차 배출가스 정밀검사(종합검사)대상지역인 경우에는 배출가스 정밀검사 시설이 설치된 검사소에서 검사를 받으셔야 합니다.   
참고로 가까운 공단 검사소 안내는 검사소 대표번호 1577-0990을 이용하시기 바랍니다."
